Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Profi,"str.ada, Drumul Fermei 82, Popești-Leordeni",44.3672407,26.1507039,2500,8.465529411764706,0.059655294117647
Penny,"Șoseaua Berceni 9, Popești-Leordeni",44.3671252,26.1450977,2500,8.465529411764706,0.059655294117647
Penny,"Drumul Fermei 91, Popești-Leordeni",44.368548,26.153136,2500,8.465529411764706,0.059655294117647
Profi,"Strada Dumitru Brumărescu 14, București",44.3608169,26.13700559999999,2500,8.465529411764706,0.059655294117647
Simplu Market,"Strada Amurgului 54a, Popești-Leordeni",44.3698525,26.14768,2500,8.465529411764706,0.059655294117647
Profi,"Drumul Fermei 34, Popești-Leordeni",44.3714735,26.1536285,2500,8.465529411764706,0.059655294117647
KMB The Market,"Bulevardul Metalurgiei, București",44.3696372,26.1404448,2500,8.465529411764706,0.059655294117647
Mega Image,"Monaco Towers Mall, Șoseaua Berceni 96, București",44.37093749999999,26.1412289,2500,8.465529411764706,0.059655294117647
Profi,"Strada Amurgului 34, București",44.3728849,26.14997989999999,2500,8.465529411764706,0.059655294117647
Profi,"Strada Amurgului 29, Popești-Leordeni",44.37337600000001,26.150309,2500,8.465529411764706,0.059655294117647
Mega Image,"Apărătorii Patriei, București",44.3692889,26.1341353,2500,8.465529411764706,0.059655294117647
Carrefour,"Bulevardul Metalurgiei 132, București",44.3633622,26.1295957,2500,8.465529411764706,0.059655294117647
Solar Market,"Bulevardul Metalurgiei 132, București",44.36328549999999,26.1292859,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada Pavlichieni 2, Popești-Leordeni",44.3757466,26.1563026,3000,10.157941176470588,0.0715794117647058
La Taticu,"Strada Eclipsei 120, Popești-Leordeni",44.3768676,26.1489801,2500,8.465529411764706,0.059655294117647
Magazin Mixt,"Strada Caporal Marin Grigore nr 9, București",44.3757007,26.1386963,2500,8.465529411764706,0.059655294117647
Magic shop,"Drumul Jilavei 58-60, București",44.3696119,26.127548,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Olteniței 410, București",44.3369049,26.2400652,3000,10.157941176470588,0.0715794117647058
Mega Image,"963H+M4, Popesti-Leordeni",44.35107889999999,26.2256649,3000,10.157941176470588,0.0715794117647058
Biodepozit,"Strada Sperantei nr. 60H, Popești-Leordeni",44.3818474,26.1942901,3000,10.157941176470588,0.0715794117647058
Fostul Conac Manu supranumit CULA,"Leordeni, Popești-Leordeni",44.38400679999999,26.2056905,3000,10.157941176470588,0.0715794117647058
Bucuriei,"Strada Bucuriei, Popești-Leordeni",44.34243429999999,26.2312722,3000,10.157941176470588,0.0715794117647058
SIMPLU MARKET,"Bloc 5, Popești-Leordeni",44.3898099,26.2024948,3000,10.157941176470588,0.0715794117647058
Profi,"Strada Libertății 123, Glina",44.38674289999999,26.2325704,3000,10.157941176470588,0.0715794117647058
Magazinul Costache,"Strada Văii 6, Glina",44.3871966,26.2329178,3000,10.157941176470588,0.0715794117647058
Vacanța de primăvară,"Bulevardul 1 Mai 61e, Berceni",44.3255381,26.1768952,2500,8.465529411764706,0.059655294117647
