Name,Address,Latitude,Longitude,Venituri,Density,Trafic
Magazin mixt,"Strada Antiaeriană 81, București",44.40883710000001,26.0540864,2700,8.48671875,0.0578671875
Magazin alimentar,Militari,44.4348811,26.0420381,2400,7.515133333333334,0.0511513333333333
MOL,"Bulevardul Iuliu Maniu 8, București",44.43460999999999,26.04443,2400,7.515133333333334,0.0511513333333333
La Dănuț,"Strada Soarelui 29, Roșu",44.44788030000001,25.9794896,2400,7.515133333333334,0.0511513333333333
MOL,"Strada Progresului 154, București",44.4145918,26.0789114,2700,8.48671875,0.0578671875
Shop & Go,"Strada Sfântul Elefterie 6, București",44.434058,26.0771336,2700,8.48671875,0.0578671875
La Doi Pasi,"Calea Șerban Vodă 272, București",44.40690600000001,26.0949712,2700,8.48671875,0.0578671875
Mega Image Shop & Go,"Strada Cameliei 4, București",44.4432261,26.0780978,3500,5.668220588235294,0.0216822058823529
MOL,"Bulevardul Dinicu Golescu 29, București",44.4450099,26.0746691,3500,5.668220588235294,0.0216822058823529
MOL,"Calea 13 Septembrie 204-206A, București",44.420911,26.065082,2700,8.48671875,0.0578671875
Zona Verde (ex Mon Com),"Bloc M112, Strada Mărgeanului 46, București",44.412897,26.0612586,2700,8.48671875,0.0578671875
Beța,"Calea Rahovei 360, Lot",44.406719,26.064132,2700,8.48671875,0.0578671875
Mega Image,"Strada Băltărețului, București",44.41825860000001,26.06364,2700,8.48671875,0.0578671875
Green Market,"Drumul Taberei 4, București",44.4264724,26.0573342,2700,8.48671875,0.0578671875
Froo,"Calea Ferentari 20, București",44.4087259,26.0771667,2700,8.48671875,0.0578671875
Mega Image Shop-N-Go,"Calea Ferentari 17, București",44.4090363,26.07775299999999,2700,8.48671875,0.0578671875
DCM Shop,"Calea Ferentari 72, București",44.4069582,26.0786257,2700,8.48671875,0.0578671875
Noroc 98 Mini Market,"Calea 13 Septembrie 117, București",44.4237639,26.0749515,2700,8.48671875,0.0578671875
La Lili,"Strada Doctor Grigore Romniceanu 32, București",44.4287317,26.0693092,2700,8.48671875,0.0578671875
Berezka store & cuisine,"Calea 13 Septembrie 104, București",44.4247873,26.0756252,2700,8.48671875,0.0578671875
Good2Go,"Calea 13 Septembrie, București",44.4261628,26.0769081,2700,8.48671875,0.0578671875
Froo,"Calea 13 Septembrie 75-79, București",44.42477549999999,26.0804604,2700,8.48671875,0.0578671875
Froo,"Strada Fabrica de Chibrituri 17-22, București",44.4143047,26.0883593,2700,8.48671875,0.0578671875
Mini market LIDIA,"SC LIDIA COM IMPEX SRL, Strada Mitropolit Dosoftei 28A, București",44.4088967,26.0924673,2700,8.48671875,0.0578671875
Mega Image Shop & Go,"Calea Văcărești 242, București",44.41011020000001,26.1156812,2500,8.465529411764706,0.059655294117647
MOL,"Bulevardul Corneliu Coposu 14, București",44.4317043,26.1109805,2800,9.677894736842106,0.068778947368421
MOL,"Calea Văcărești 132-134, București",44.41569,26.11405999999999,2500,8.465529411764706,0.059655294117647
Mega Image Shop & Go,"Strada Nerva Traian 11, București",44.421706,26.117411,2500,8.465529411764706,0.059655294117647
Mega Image,"Strada C. A. Rosetti 14, București",44.4407158,26.1004601,3500,5.668220588235294,0.0216822058823529
MOL,"Bulevardul Decebal 23, București",44.43135650000001,26.1367897,2800,9.677894736842106,0.068778947368421
Mega Image Shop & Go,"Evocasa Selecta, Bulevardul Ferdinand I 58, București",44.4413861,26.12435739999999,2800,9.677894736842106,0.068778947368421
"August Mosilor - coffee, drinks, food","Calea Moșilor 225, București",44.4448788,26.120144,2800,9.677894736842106,0.068778947368421
Mega Image Shop&Go,"Bloc 2, Strada Baba Novac 13A, București",44.4260163,26.1479881,3000,10.157941176470588,0.0715794117647058
La doi paşi,"Bulevardul Camil Ressu 41, București",44.41518320000001,26.1543778,3000,10.157941176470588,0.0715794117647058
Clic Market,"Strada Bucur, București",44.4225758,26.1090567,2500,8.465529411764706,0.059655294117647
Mega Image,"Șoseaua Ștefan cel Mare 48, București",44.4524992,26.1147113,2800,9.677894736842106,0.068778947368421
MyAuchan,"Strada Maria Rosetti 7-9, București",44.4421026,26.1063761,2800,9.677894736842106,0.068778947368421
La vecinu' Marius,"Strada Constantin Rădulescu-Motru 8, București",44.4141895,26.1079909,2500,8.465529411764706,0.059655294117647
Froo,"Strada V. V. Stanciu 213, București",44.4129238,26.11452539999999,2500,8.465529411764706,0.059655294117647
Froo,"Calea Văcărești 242, București",44.4099209,26.1159309,2500,8.465529411764706,0.059655294117647
Clic Market,"Strada Oițelor 56, București",44.4212061,26.10653839999999,2700,8.48671875,0.0578671875
Larnic Market,"Calea Văcărești 278, București",44.40911759999999,26.1177605,2500,8.465529411764706,0.059655294117647
Magazin,"Bulevardul Regina Maria 46, București",44.424374,26.0957915,2700,8.48671875,0.0578671875
Froo,"Bloc M36, Strada Nerva Traian 14, București",44.4202527,26.1155869,2500,8.465529411764706,0.059655294117647
La Fane în Colț,"Strada Logofătul Tăutu 47, București",44.4201798,26.1177975,2500,8.465529411764706,0.059655294117647
Blue Store,"Strada Povestei 10, București",44.40376630000001,26.1225094,2500,8.465529411764706,0.059655294117647
Minimarket,"Bloc A2, Scara 3, Etaj 6, Apartament 62, Bulevardul Unirii 33, București",44.4271693,26.107588,2800,9.677894736842106,0.068778947368421
Strivex Trading S.R.L.,"Strada Nerva Traian 7, București",44.4229698,26.118368,2800,9.677894736842106,0.068778947368421
Magazin alimentar,"Strada Grădinarilor 30, București",44.4143506,26.1255503,2500,8.465529411764706,0.059655294117647
Pamfi Jina SRL,"Strada Baia de Fier 8, București",44.4304774,26.1061258,2800,9.677894736842106,0.068778947368421
Berezka,"Strada Sfânta Vineri 21 A, București",44.4303642,26.1070205,2800,9.677894736842106,0.068778947368421
Quick Market,"Strada Traian 3, București",44.4270797,26.1188241,2800,9.677894736842106,0.068778947368421
La Felice,"Strada Drumeagului 1, București",44.4108868,26.131729,2500,8.465529411764706,0.059655294117647
"Centrul Vechi Bucuresti -str Blanari-Magazin"" La 2 pasi""","Strada Blănari 18, București",44.4328783,26.1012307,3500,5.668220588235294,0.0216822058823529
Shop&Go,"Bulevardul Nicolae Grigorescu 18, București",44.4212818,26.1635582,3000,10.157941176470588,0.0715794117647058
MOL,"Bulevardul Theodor Pallady 66, București",44.404971,26.2075891,3000,10.157941176470588,0.0715794117647058
MOL,"Bulevardul Theodor Pallady 117-199, București",44.40585759999999,26.20900679999999,3000,10.157941176470588,0.0715794117647058
MOL,"Strada Râmnicu Vâlcea 12, București",44.41609,26.14051,3000,10.157941176470588,0.0715794117647058
MOL,"Strada Postăvarului 24, București",44.4166663,26.16968240000001,3000,10.157941176470588,0.0715794117647058
Mini Market Dorimar,"Bulevardul Camil Ressu 68, București",44.41368970000001,26.1557298,3000,10.157941176470588,0.0715794117647058
ANAS FRESH MARKET,"Strada Locotenent Nicolae Pascu 1, București",44.4094038,26.1412393,3000,10.157941176470588,0.0715794117647058
A.V.A CONSUM SRL,"Strada Locotenent Nicolae Pascu 1, București",44.4093969,26.1412224,3000,10.157941176470588,0.0715794117647058
Mini Market Non-Stop,"Bulevardul Râmnicu Sărat 10, București",44.4138765,26.1426323,3000,10.157941176470588,0.0715794117647058
Madellin Magazin Non Stop,"Strada Istriei 2b, București",44.4159942,26.1415157,3000,10.157941176470588,0.0715794117647058
Shop & Go,"Bulevardul Theodor Pallady 2, București",44.4124567,26.1646743,3000,10.157941176470588,0.0715794117647058
Mega Image,"Strada Pătulului 2A, București",44.4135555,26.1651635,3000,10.157941176470588,0.0715794117647058
Magazin Alimentar DESTINY'S WAY,"Aleea Postăvarul 6, București",44.4187546,26.1666102,3000,10.157941176470588,0.0715794117647058
Minimarket,"Unnamed Road, București",44.4252089,26.1467226,3000,10.157941176470588,0.0715794117647058
Magazin Alimentar,"Strada Prisaca Dornei 8, București",44.41891529999999,26.1677723,3000,10.157941176470588,0.0715794117647058
Froo,"Șoseaua Mihai Bravu 302-304, București",44.4245554,26.1367197,2800,9.677894736842106,0.068778947368421
Froo,"Strada Liviu Rebreanu 12, București",44.42489,26.1643816,3000,10.157941176470588,0.0715794117647058
Froo,"Strada Liviu Rebreanu 13A, București",44.4253768,26.1642439,3000,10.157941176470588,0.0715794117647058
"August Burebista - coffee, drinks, food","Bulevardul Burebista 2, București",44.4242317,26.1293321,2800,9.677894736842106,0.068778947368421
Minimarket,"Bulevardul Nicolae Grigorescu, București",44.4292054,26.1609044,3000,10.157941176470588,0.0715794117647058
La Doi Pași EXTRA,Strada Constantin Brâncuși 13,44.42931309999999,26.1611362,3000,10.157941176470588,0.0715794117647058
MAGAZIN MIXT MICRO,"Strada Liviu Rebreanu 29A, București",44.42497520000001,26.17242899999999,3000,10.157941176470588,0.0715794117647058
Piața Alba Iulia,"Bulevardul Decebal, București",44.4288309,26.1333625,2800,9.677894736842106,0.068778947368421
Shop N Go,"Strada Theodor D. Speranția 59, București",44.42658309999999,26.1277273,2800,9.677894736842106,0.068778947368421
FCD market,"Bulevardul Basarabia 22, București",44.4321563,26.141194,2800,9.677894736842106,0.068778947368421
