Name,Address,Latitude,Longitude,Income,Density,Trafic
ZAPA Printemps Vélizy,"Centre Commercial Vélizy - 2, Avenue de l'Europe, Vélizy-Villacoublay",48.7810118,2.220338200000001,31.49,20.87458912768648,17.725589127686476
Printemps Vélizy 2,"Centre Commercial, 2 Avenue de l'Europe, Vélizy-Villacoublay",48.7827491,2.2214119,31.49,20.87458912768648,17.725589127686476
Galeries Lafayette Outlet Vélizy,"19 Rue André Citroën, Vélizy-Villacoublay",48.77352199999999,2.2268826,21.82,27.2625,25.0805
Robinson Diffusion,"1 Avenue de la Gare, Sceaux",48.7792641,2.2814759,21.82,27.2625,25.0805
Hubside.Store Vélizy 2,"Centre Commercial Westfield, 2 Avenue de l'Europe, Vélizy-Villacoublay",48.7806604,2.2202522,31.49,20.87458912768648,17.725589127686476
Pepe Jeans Printemps Velizy,"Avenue de l'Europe Printemps C.C, Vélizy-Villacoublay",48.7804315,2.2197142,31.49,20.87458912768648,17.725589127686476
HEMA,"2 Avenue de l'Europe, Vélizy-Villacoublay",48.7804315,2.2197142,31.49,20.87458912768648,17.725589127686476
Monoprix,"8 Rue René Roeckel, Bourg-la-Reine",48.7799176,2.314128,19.59,23.92304964539007,21.96404964539007
Pomona Rungis Paris,"343 Avenue des Trois Marchés, Rungis",48.75970219999999,2.3537266,17.09,25.036783216783217,23.327783216783217
FNAC,"Centre Commercial Thiais Village, 39 Rue de la Résistance, Thiais",48.75786479999999,2.3867197,17.09,25.036783216783217,23.327783216783217
ELECTRO DEPOT PARIS - THIAIS,"10 Rue des Alouettes, Thiais",48.75290500000001,2.3711864,17.09,25.036783216783217,23.327783216783217
MONOPRIX,"34 Rue Jean Jaurès, Villejuif",48.7935962,2.3662012,17.09,25.036783216783217,23.327783216783217
azventeprive,"43 galarie rouget de l'isle, Choisy-le-Roi",48.76455499999999,2.407191,19.02,22.14341692789969,20.24141692789969
HUBSIDE.Store,"Centre Commercial Belle Epine, Rue du Luxembourg, Thiais",48.7556778,2.3715576,17.09,25.036783216783217,23.327783216783217
Primark,"CCR Belle Epine, Rue du Luxembourg, Thiais",48.7577046,2.370947399999999,17.09,25.036783216783217,23.327783216783217
Fnac,"Aéroport d'Orly Aérogare 3, Orly",48.746855,2.4054641,19.02,22.14341692789969,20.24141692789969
Bachard Samirah,"3 Rue de Bourgogne, Vitry-sur-Seine",48.78149430000001,2.3966869,19.02,22.14341692789969,20.24141692789969
Fnac,"Avenue du Général de Gaulle, Centre Commercial Régional Créteil-Soleil, Créteil",48.7802589,2.4568477,19.02,22.14341692789969,20.24141692789969
Hema,"HEMA, Centre Commercial Régional Créteil-Soleil, Paris",48.7793243,2.455535799999999,19.02,22.14341692789969,20.24141692789969
Primark,"Avenue de la France libre, Créteil",48.78180459999999,2.4551639,19.02,22.14341692789969,20.24141692789969
Monoprix,"Rue des Fontaines, Sucy-en-Brie",48.77208470000001,2.518311,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"130-140 Route de la Reine, Boulogne-Billancourt",48.8404867,2.2332706,31.49,20.87458912768648,17.725589127686476
Fnac,"Centre commercial, 5, rue Tony Garnier, Les Passages de l'Hôtel de ville, Boulogne-Billancourt",48.8369252,2.2383598,31.49,20.87458912768648,17.725589127686476
MONOPRIX,"57 Rue du Général Leclerc, Issy-les-Moulineaux",48.82419999999999,2.274082,21.82,27.2625,25.0805
MONOPRIX,"22-24 Boulevard Gambetta, Issy-les-Moulineaux",48.82718080000001,2.2774268,21.82,27.2625,25.0805
