Name,Address,Latitude,Longitude,Income,Density,Trafic
Franprix,"38 Rue du Mail, Savigny-sur-Orge",48.6734887,2.3509702,17.09,25.036783216783217,23.327783216783217
Marché Entrepôt Paray 2,"88 Avenue de Verdun, Paray-Vieille-Poste",48.7058799,2.3645057,17.09,25.036783216783217,23.327783216783217
Intermarché SUPER Juvisy-Sur-Orge,"27 Avenue Camille Desmoulins, Juvisy-sur-Orge",48.6943775,2.3577856,17.09,25.036783216783217,23.327783216783217
Lidl,"79 Avenue Charles de Gaulle, Morangis",48.7061473,2.3456409,17.09,25.036783216783217,23.327783216783217
O Cantinho Portugues,"204 Avenue de la Division Leclerc, Massy",48.7381927,2.301708000000001,19.59,23.92304964539007,21.96404964539007
Carrefour,"Avenue Blaise Pascal, Morangis",48.697163,2.334173,17.09,25.036783216783217,23.327783216783217
Grand Frais Chilly-Mazarin,"55 Route de Longjumeau, Chilly-Mazarin",48.706223,2.298461000000001,19.59,23.92304964539007,21.96404964539007
kavi exotic,"113 Rue du Président François Mitterrand, Longjumeau",48.6943901,2.2939783,19.59,23.92304964539007,21.96404964539007
SUPERMARCHÉ G20,"82 Rue de Gravigny, Chilly-Mazarin",48.6941979,2.309897,19.59,23.92304964539007,21.96404964539007
MITHRA MINI MARKET,"36 Avenue Mazarin, Chilly-Mazarin",48.70549339999999,2.3154841,19.59,23.92304964539007,21.96404964539007
Lidl,"8 Route de Massy, Chilly-Mazarin",48.7113731,2.306385499999999,19.59,23.92304964539007,21.96404964539007
Carrefour,"Rue de la Passerelle, Chilly-Mazarin",48.6999078,2.3191821,19.59,23.92304964539007,21.96404964539007
Marché d'à Côté,"11 Place des Charmilles, Longjumeau",48.6840519,2.3154947,19.59,23.92304964539007,21.96404964539007
Carrefour,"1 Rue du Perou, Massy",48.7197484,2.2997953,19.59,23.92304964539007,21.96404964539007
Csf,"17 Avenue Descartes, Morangis",48.6972425,2.3336585,17.09,25.036783216783217,23.327783216783217
Carrefour,"Zi Les Sables, Avenue Blaise Pascal, Morangis",48.6970202,2.334071900000001,17.09,25.036783216783217,23.327783216783217
Carrefour,"142 Grande Rue, Épinay-sur-Orge",48.6788524,2.317968,19.59,23.92304964539007,21.96404964539007
Jeyam Supermarché-Épicerie-Supérette CLAIR VILLAGE,"2 Place Beaumarchais, Savigny-sur-Orge",48.6848439,2.3302326,17.09,25.036783216783217,23.327783216783217
MONOPRIX,"127 Avenue du Général de Gaulle, Draveil",48.6862851,2.4079793,17.09,25.036783216783217,23.327783216783217
Carrefour,"180 N7, Athis-Mons",48.71216039999999,2.373358000000001,17.09,25.036783216783217,23.327783216783217
Picard,"2-4 Rue Francoeur, Viry-Châtillon",48.6755599,2.3848261,17.09,25.036783216783217,23.327783216783217
bp,"38 Avenue de Morangis, Athis-Mons",48.7059207,2.3686776,17.09,25.036783216783217,23.327783216783217
Picard ATHIS MONS,"71 Avenue François Mitterrand, Athis-Mons",48.7039323,2.371427799999999,17.09,25.036783216783217,23.327783216783217
Lidl,"28 Rue Henri Hamel, Athis-Mons",48.707721,2.3721481,17.09,25.036783216783217,23.327783216783217
Carrefour,"180, N7, Athis-Mons",48.7110208,2.3724434,17.09,25.036783216783217,23.327783216783217
Franprix,"30 Rue Monttessuy, Juvisy-sur-Orge",48.6873648,2.3845494,17.09,25.036783216783217,23.327783216783217
Intermarché SUPER Viry Châtillon,"21 Boulevard Meder, Viry-Châtillon",48.68327300000001,2.382384,17.09,25.036783216783217,23.327783216783217
MONOP'DAILY,"Terminal Orly Jonction, Orly",48.7262397,2.365317,17.09,25.036783216783217,23.327783216783217
ALDI,"94 bis Avenue du Général de Gaulle, Viry-Châtillon",48.6785033,2.383037400000001,17.09,25.036783216783217,23.327783216783217
E.Leclerc DRIVE Viry Châtillon,"80/90, Avenue du Général de Gaulle, Viry-Châtillon",48.6780224,2.383967,17.09,25.036783216783217,23.327783216783217
Franprix,"42 Avenue de Provence, Viry-Châtillon",48.668475,2.3608116,17.09,25.036783216783217,23.327783216783217
cocciMarket,"24 Rue du Port aux Dames, Draveil",48.6804542,2.4007004,17.09,25.036783216783217,23.327783216783217
E.Leclerc VIRY CHATILLON CEDEX,"28 Route de Grigny, Viry-Châtillon",48.6634902,2.376556299999999,17.09,25.036783216783217,23.327783216783217
Marché Entrepôt Grigny,"9 Rue des Halles, Grigny",48.670235,2.393732,17.09,25.036783216783217,23.327783216783217
Picard,"24 Place de la République, Draveil",48.68573199999999,2.409876999999999,17.09,25.036783216783217,23.327783216783217
Auchan,"27 Rue Victor Hugo, Juvisy-sur-Orge",48.6908,2.37793,17.09,25.036783216783217,23.327783216783217
Carrefour,"4 Rue V, Rue Valentin Conrart, Athis-Mons",48.7081439,2.3884601,17.09,25.036783216783217,23.327783216783217
Intermarché SUPER Morsang-Sur-Orge,"26 Avenue du Commandant Barre, Morsang-sur-Orge",48.6620934,2.3592447,17.09,25.036783216783217,23.327783216783217
Auchan,"Avenue de Morangis, Athis-Mons",48.70552199999999,2.362774,17.09,25.036783216783217,23.327783216783217
Lidl,"8 Rue Jean Pierre Timbaud, Morsang-sur-Orge",48.66174999999999,2.35969,17.09,25.036783216783217,23.327783216783217
Arcado,"114 Avenue de Verdun, Paray-Vieille-Poste",48.70574850000001,2.361391900000001,17.09,25.036783216783217,23.327783216783217
Picard,"33 Avenue Ferdinand de Lesseps, Morangis",48.70477289999999,2.3402806,17.09,25.036783216783217,23.327783216783217
Super U et Drive,"149 Boulevard Aristide Briand, Savigny-sur-Orge",48.68711680000001,2.351347800000001,17.09,25.036783216783217,23.327783216783217
GRAND PARIS MARCHE,"157 Boulevard Aristide Briand, Savigny-sur-Orge",48.68697619999999,2.3533626,17.09,25.036783216783217,23.327783216783217
ALDI,"33 bis Avenue François Mitterrand, Athis-Mons",48.70120900000001,2.370268400000001,17.09,25.036783216783217,23.327783216783217
CocciMarket,"62 Avenue de la Cour de France, Juvisy-sur-Orge",48.6978591,2.3721005,17.09,25.036783216783217,23.327783216783217
Panier Sympa Supérette de Savigny,"77 Boulevard Aristide Briand, Savigny-sur-Orge",48.6854121,2.3461005,17.09,25.036783216783217,23.327783216783217
Marché Turquoise,"123 Avenue François Mitterrand, Athis-Mons",48.707448,2.3710566,17.09,25.036783216783217,23.327783216783217
Superette,"99 Avenue Roger Salengro, Savigny-sur-Orge",48.68138889999999,2.3412042,17.09,25.036783216783217,23.327783216783217
Franprix,"1 Rue des Coquelicots, Savigny-sur-Orge",48.680295,2.342052999999999,17.09,25.036783216783217,23.327783216783217
ALDI,"7B 9 Grande Rue, Rue Jules Ferry 3-9, Juvisy-sur-Orge",48.68795799999999,2.376714900000001,17.09,25.036783216783217,23.327783216783217
TS supermarché,"4 Grande Rue, Juvisy-sur-Orge",48.68741870000001,2.3777755,17.09,25.036783216783217,23.327783216783217
E.Leclerc MONTGERON,"72 Avenue Jean Jaurès, Montgeron",48.7157176,2.4449578,19.02,22.14341692789969,20.24141692789969
Super U et Drive,"6 Avenue de l'Europe, Draveil",48.6827399,2.4313545,19.02,22.14341692789969,20.24141692789969
ALDI,"132 Avenue Charles de Gaulle, Montgeron",48.693122,2.4450589,19.02,22.14341692789969,20.24141692789969
Magasin Maison Thiriet,"30-34 Rue Albert Rémy, Ris-Orangis",48.6570003,2.4082383,17.09,25.036783216783217,23.327783216783217
E.Leclerc ORLY,"8 Place Gaston Viens, Orly",48.7437254,2.4075253,19.02,22.14341692789969,20.24141692789969
bp,"54 Avenue Henri Barbusse, Vigneux-sur-Seine",48.7000317,2.4200857,19.02,22.14341692789969,20.24141692789969
Franprix,"12 Place du 14 Juillet, Vigneux-sur-Seine",48.7055616,2.4227322,19.02,22.14341692789969,20.24141692789969
Magasin Maison Thiriet,"19 Avenue de l'Europe, Draveil",48.683096,2.430168,19.02,22.14341692789969,20.24141692789969
Montgeron Services,"72 Avenue Jean Jaurès, Montgeron",48.7157867,2.4449546,19.02,22.14341692789969,20.24141692789969
Soc Exploit Magasin Nord Est,"110 Avenue de la République, Montgeron",48.70709690000001,2.4553664,19.02,22.14341692789969,20.24141692789969
Franprix,"55 Rue du Général de Gaulle, Villeneuve-le-Roi",48.7350442,2.4215683,19.02,22.14341692789969,20.24141692789969
ALDI Draveil,"6 Rue de Ris, Draveil",48.6635827,2.4177518,17.09,25.036783216783217,23.327783216783217
Picard,"35 Route de Choisy, Villeneuve-le-Roi",48.74143639999999,2.4084413,19.02,22.14341692789969,20.24141692789969
Centre Commercial du Valdoly,"6 Rue de la Longueraie, Vigneux-sur-Seine",48.7149341,2.4385571,19.02,22.14341692789969,20.24141692789969
Auchan,"Rue Mercure, Montgeron",48.715148,2.438493,19.02,22.14341692789969,20.24141692789969
Franprix,"2 Rue Henri Janin, Villeneuve-Saint-Georges",48.7293552,2.4478205,19.02,22.14341692789969,20.24141692789969
Centre Commercial Orlydis,"8 Place Gaston Viens, Orly",48.7430419,2.4068912,19.02,22.14341692789969,20.24141692789969
Intermarché SUPER Draveil,"94 Avenue Henri Barbusse, Draveil",48.6786868,2.4113242,17.09,25.036783216783217,23.327783216783217
Super U République Montgeron,"110 Avenue de la République, Montgeron",48.7035397,2.4593364,19.02,22.14341692789969,20.24141692789969
Intermarché SUPER Villeneuve Le Roi,"32-38 Avenue le Foll, Villeneuve-le-Roi",48.72989099999999,2.428503999999999,19.02,22.14341692789969,20.24141692789969
ALDI,"20 Rue Albert Rémy, Ris-Orangis",48.6567511,2.4088936,17.09,25.036783216783217,23.327783216783217
Lidl,"1 Cours de Verdun, Villeneuve-le-Roi",48.733225,2.4069792,19.02,22.14341692789969,20.24141692789969
Picard,"22-24 Rue de Concy, Montgeron",48.70784829999999,2.4662851,19.02,22.14341692789969,20.24141692789969
Lidl,"50 Rue Waldeck Rousseau, Draveil",48.68746849999999,2.433371699999999,19.02,22.14341692789969,20.24141692789969
Auchan,"32 Place de la République, Draveil",48.6858,2.410639999999999,17.09,25.036783216783217,23.327783216783217
Intermarché SUPER Vigneux,"5 Avenue Henri Barbusse, Vigneux-sur-Seine",48.69756570000001,2.4147264,19.02,22.14341692789969,20.24141692789969
Auchan,"Rue Mercure, Montgeron",48.7128489,2.437477399999999,19.02,22.14341692789969,20.24141692789969
Super U et Drive,"32 Rue Edouard Vaillant, Athis-Mons",48.70636330000001,2.3966243,17.09,25.036783216783217,23.327783216783217
Carrefour,"101 Avenue du 18 avril 1944, Athis-Mons",48.70207509999999,2.3867375,17.09,25.036783216783217,23.327783216783217
Carrefour,"101 Avenue du 18 avril 1944, Athis-Mons",48.7019921,2.3866443,17.09,25.036783216783217,23.327783216783217
SUPERMARCHÉ G20,"6 Place des Quatre Saisons, Vigneux-sur-Seine",48.70010040000001,2.4169552,19.02,22.14341692789969,20.24141692789969
Franprix,"46 Rue de Montgeron, Brunoy",48.6927628,2.492496899999999,19.02,22.14341692789969,20.24141692789969
Picard,"3 Boulevard Charles de Gaulle, Brunoy",48.6950756,2.5033719,19.02,22.14341692789969,20.24141692789969
Franprix,"85 Avenue du Président John Fitzgerald Kennedy, Villeneuve-Saint-Georges",48.73561840000001,2.464985,19.02,22.14341692789969,20.24141692789969
Carrefour,"Avenue de la Grange, Yerres",48.7224289,2.4992195,19.02,22.14341692789969,20.24141692789969
Intermarché SUPER Yerres,"52 Rue de Concy, Yerres",48.7108481,2.4845534,19.02,22.14341692789969,20.24141692789969
Carrefour,"Place Gambetta, Yerres",48.7016218,2.4861996,19.02,22.14341692789969,20.24141692789969
MONOPRIX,"12-14 Rue Philisbourg, Brunoy",48.6980219,2.506847,19.02,22.14341692789969,20.24141692789969
bp,"N6, Montgeron",48.690606,2.454383,19.02,22.14341692789969,20.24141692789969
G20 DISTRI MONGE,"CC LA FORET, Avenue Charles de Gaulle, Montgeron",48.6963553,2.455254800000001,19.02,22.14341692789969,20.24141692789969
Superette Service,"72 Avenue Paul Vaillant-Couturier, Vigneux-sur-Seine",48.6968134,2.4341958,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"100 Avenue Jean Jaurès, Montgeron",48.7130392,2.4488028,19.02,22.14341692789969,20.24141692789969
Franprix,"100 Avenue Jean Jaurès, Montgeron",48.7130648,2.4488521,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"30 Avenue Jean Jaurès, Crosne",48.71430910000001,2.4618818,19.02,22.14341692789969,20.24141692789969
Auchan,"Centre Commercial Valdoly, Rue des Gaulois, Montgeron",48.71473,2.43788,19.02,22.14341692789969,20.24141692789969
Intermarché EXPRESS Crosne,"4 Rue Alexandre Foudrier, Crosne",48.7168103,2.458683699999999,19.02,22.14341692789969,20.24141692789969
H Marche FRAIS,"13 BIS Rue de la Longueraie, Vigneux-sur-Seine",48.7153459,2.4352997,19.02,22.14341692789969,20.24141692789969
Grossiste alimentaire,"13 bis Rue de la Longueraie, Vigneux-sur-Seine",48.7153837,2.4352592,19.02,22.14341692789969,20.24141692789969
E.Leclerc DRIVE Montgeron,"ZA La mare à boulanger, Montgeron",48.7176097,2.4423407,19.02,22.14341692789969,20.24141692789969
cocciMarket,"2 Rue Jean Corringer, Vigneux-sur-Seine",48.7061412,2.4235652,19.02,22.14341692789969,20.24141692789969
E.Leclerc YERRES,"107 Rue de Concy, Yerres",48.70780000000001,2.4822,19.02,22.14341692789969,20.24141692789969
Jerimaldis,"Place Gambetta, Yerres",48.70118230000001,2.4862472,19.02,22.14341692789969,20.24141692789969
COCCIMARKET,"1 Avenue du Président Robert Lakota, 1 Rue Molière, Vigneux-sur-Seine",48.7079402,2.4146177,19.02,22.14341692789969,20.24141692789969
Franprix,"8 Avenue du Président Salvador Allende, Crosne",48.7219261,2.4699263,19.02,22.14341692789969,20.24141692789969
Franprix,"276B Boulevard Henri Barbusse, Draveil",48.69197310000001,2.4124852,17.09,25.036783216783217,23.327783216783217
Marché d'à Côté,"276 Boulevard Henri Barbusse, Draveil",48.6920039,2.4124484,17.09,25.036783216783217,23.327783216783217
Marché d'à Côté,"31 Rue de Paris, Villeneuve-Saint-Georges",48.72674,2.445936,19.02,22.14341692789969,20.24141692789969
Marché d'à Côté,"45 Rue Gabriel Péri, Yerres",48.708926,2.4887747,19.02,22.14341692789969,20.24141692789969
GMARKET,"45 Rue Gabriel Péri, Yerres",48.7089234,2.4888322,19.02,22.14341692789969,20.24141692789969
