Name,Address,Latitude,Longitude,Income,Density,Trafic
Mya market,"86 Rue de la Voie Verte, Athis-Mons",48.70059819999999,2.3575438,17.09,25.036783216783217,23.327783216783217
Sun Exotique,"84 Boulevard Aristide Briand, Savigny-sur-Orge",48.68712360000001,2.3543739,17.09,25.036783216783217,23.327783216783217
Access - TotalEnergies,"190 Avenue du Maréchal Leclerc, Massy",48.73950469999999,2.3018052,19.59,23.92304964539007,21.96404964539007
Superette De La Gare,"11 Avenue Charles de Gaulle, Savigny-sur-Orge",48.6767093,2.3499819,17.09,25.036783216783217,23.327783216783217
Le marché d’à cote by VRT CITY,"29 Avenue des Écoles, Wissous",48.7370031,2.3265874,19.59,23.92304964539007,21.96404964539007
Le Marché d'à côté,"89 Rue Mirabeau, Antony",48.7423017,2.2975106,19.59,23.92304964539007,21.96404964539007
NILA - Alimentation Générale et Exotique,"1 Rue de la Procession, Savigny-sur-Orge",48.6728282,2.3503782,17.09,25.036783216783217,23.327783216783217
Superette Antony,"129 Avenue de la Division Leclerc, Antony",48.7429786,2.3031348,19.59,23.92304964539007,21.96404964539007
Les Halles De Paray,"88 Avenue de Verdun, Paray-Vieille-Poste",48.7059499,2.3646064,17.09,25.036783216783217,23.327783216783217
Petit Casino,"13 Bis Rue Jean Jaurès, Villiers-sur-Orge",48.6568618,2.3004412,19.59,23.92304964539007,21.96404964539007
MONOPRIX,"127 Avenue du Général de Gaulle, Draveil",48.6862851,2.4079793,17.09,25.036783216783217,23.327783216783217
Coccimarket,"72 Rue des Plantes, Athis-Mons",48.7034883,2.3760114,17.09,25.036783216783217,23.327783216783217
Relay Gare Juvisy Souterrain,"Place Banette et Planchon, Juvisy-sur-Orge",48.68913750000001,2.3825338,17.09,25.036783216783217,23.327783216783217
STATION ESSO VIRY RN7,"158 Avenue du Général de Gaulle N7, Viry-Châtillon",48.683979,2.376378,17.09,25.036783216783217,23.327783216783217
