Name,Address,Latitude,Longitude,Income,Density
"Avi Glatt, Inc.","805 Avenue U, Brooklyn",40.5982787,-73.9627795,"$64,106 ",2300.4322766570604
NG Supermarket,"507 Cortelyou Road, Brooklyn",40.6385842,-73.9742957,"$57,754 ",2757.665706051873
Fruits-A-Plenty Inc,"1507 Kings Highway, Brooklyn",40.6089979,-73.9580321,"$64,106 ",2300.4322766570604
Bensonhurst Market,"7215 20th Avenue, Brooklyn",40.61204800000001,-73.9902713,"$55,977 ",2622.2046109510084
bp,"1982 Utica Avenue, Brooklyn",40.62319350000001,-73.92765779999999,"$66,097 ",2315.0432276657057
Flatbush Food Co-op,"1415 Cortelyou Road, Brooklyn",40.6412976,-73.96471989999999,"$66,097 ",2315.0432276657057
Pathmark,"1525 Albany Avenue, Brooklyn",40.6355027,-73.9368326,"$66,097 ",2315.0432276657057
Food Universe Marketplace,"2424 Flatbush Avenue, Brooklyn",40.61077410000001,-73.92405959999999,"$64,106 ",2300.4322766570604
Mill Basin Shuk,"6324 Avenue N, Brooklyn",40.61944899999999,-73.916378,"$76,340 ",2788.8040345821323
Ideal Food Basket of East Midwood,"1967 Flatbush Avenue, Brooklyn",40.621956,-73.93592029999999,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"5101 Avenue N, Brooklyn",40.6192964,-73.9252593,"$66,097 ",2315.0432276657057
Food Way,"Georgetowne Shopping Center, 2149 Ralph Avenue, Brooklyn",40.626094,-73.9158982,"$76,340 ",2788.8040345821323
bp,"5001 Kings Highway, Brooklyn",40.6349455,-73.928291,"$60,811 ",2237.0605187319884
Wolf's Grocery,"2362 Nostrand Avenue, Brooklyn",40.6272087,-73.9471422,"$66,097 ",2315.0432276657057
CTown Supermarkets,"1761 Nostrand Avenue, Brooklyn",40.642808,-73.9484071,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"319 Kings Highway, Brooklyn",40.6051624,-73.97838,"$55,977 ",2622.2046109510084
Key Food Supermarkets,"2245 Gerritsen Avenue #1154, Brooklyn",40.60122550000001,-73.9340533,"$64,106 ",2300.4322766570604
Cherry Hill Market,"2284 86th Street #1, Brooklyn",40.600605,-73.9919204,"$55,977 ",2622.2046109510084
Kosher Palace Supermarket,"2818 Avenue U, Brooklyn",40.600088,-73.943144,"$64,106 ",2300.4322766570604
Key Food Supermarkets,"6620 Avenue U, Brooklyn",40.6172155,-73.909436,"$76,340 ",2788.8040345821323
CTown Supermarkets,"2807-15 86th Street, Brooklyn",40.5930188,-73.97862409999999,"$41,541 ",1502.564841498559
Key Food Supermarkets,"2326 Nostrand Avenue, Brooklyn",40.62776749999999,-73.94732309999999,"$66,097 ",2315.0432276657057
Key Food Supermarkets,"1610 Cortelyou Road, Brooklyn",40.6415845,-73.9632507,"$66,097 ",2315.0432276657057
Ideal Food Basket,"1871 Rockaway Parkway, Brooklyn",40.6369268,-73.8921472,"$76,340 ",2788.8040345821323
bp,"401 East 80th Street, Brooklyn",40.640977,-73.9189924,"$76,340 ",2788.8040345821323
Key Food Supermarkets,"2066 Rockaway Parkway #47, Brooklyn",40.6324644,-73.8888707,"$76,340 ",2788.8040345821323
Foodtown,"1958-66 Ralph Avenue, Brooklyn",40.6298691,-73.9189894,"$76,340 ",2788.8040345821323
Key Food Supermarkets,"1804 Ralph Avenue, Brooklyn",40.6331516,-73.9190485,"$76,340 ",2788.8040345821323
Target Grocery,"5100 Kings Plaza Ste 2201, Brooklyn",40.6087292,-73.92036130000001,"$64,106 ",2300.4322766570604
CTown Supermarkets,"7924 Flatlands Avenue, Brooklyn",40.63523300000001,-73.9133283,"$76,340 ",2788.8040345821323
Family Dollar,"1975 Utica Avenue, Brooklyn",40.6237693,-73.9269348,"$66,097 ",2315.0432276657057
Met Foodmarkets of Marine Park,"3404 Quentin Road, Brooklyn",40.6136576,-73.9379567,"$66,097 ",2315.0432276657057
Supermarket Of Ave N inc,"3524 Flatlands Avenue, Brooklyn",40.6176803,-73.9404249,"$66,097 ",2315.0432276657057
Produce Market 2000,"2518 Avenue U, Brooklyn",40.5997687,-73.9459229,"$64,106 ",2300.4322766570604
bp,"7702 Flatlands Avenue, Brooklyn",40.6341422,-73.9150183,"$76,340 ",2788.8040345821323
CTown Supermarket,"7812 Flatlands Avenue, Brooklyn",40.6345317,-73.9138426,"$76,340 ",2788.8040345821323
Hana Market,"8002 Flatlands Avenue, Brooklyn",40.63551599999999,-73.912708,"$76,340 ",2788.8040345821323
Super Flat 99¢ Plus,"8123 Flatlands Avenue, Brooklyn",40.6364678,-73.912111,"$76,340 ",2788.8040345821323
Shop Smart Supermarket,"8123 Flatlands Avenue # B, Brooklyn",40.6365082,-73.91226069999999,"$76,340 ",2788.8040345821323
Shop Smart Kosher Supermarket,"2640 Nostrand Avenue, Brooklyn",40.62012800000001,-73.945921,"$66,097 ",2315.0432276657057
Target Grocery,"5200 Kings Highway Ste A, Brooklyn",40.63627040000001,-73.92707349999999,"$60,811 ",2237.0605187319884
Amoco,"1760 Flatbush Avenue, Brooklyn",40.62700899999999,-73.94184059999999,"$66,097 ",2315.0432276657057
Easy Shop Supermarket Inc. 欣榮超市,"1520 Avenue U, Brooklyn",40.5987005,-73.9556138,"$64,106 ",2300.4322766570604
Amoco,"4102 Avenue H, Brooklyn",40.632197,-73.936672,"$66,097 ",2315.0432276657057
Domino Supermarket,"1824 Kings Highway, Brooklyn",40.61000000000001,-73.95479999999999,"$64,106 ",2300.4322766570604
Gmor Supermarket,"1569 Avenue S, Brooklyn",40.6039201,-73.9561367,"$64,106 ",2300.4322766570604
DOLLAR TOWN,"1808 Kings Highway, Brooklyn",40.609913,-73.9551755,"$64,106 ",2300.4322766570604
Green Forest Market at Kings Highway,"1717 Kings Highway, Brooklyn",40.6099605,-73.9559201,"$64,106 ",2300.4322766570604
Big Banana,"1709 Kings Highway, Brooklyn",40.6098338,-73.9561619,"$64,106 ",2300.4322766570604
L & J Supermarket II Inc.,"1252 Avenue U, Brooklyn",40.5983773,-73.9583571,"$64,106 ",2300.4322766570604
勝興超級市場 A&C Seafood & Meat Market,"1237 Avenue U, Brooklyn",40.5987829,-73.95864449999999,"$64,106 ",2300.4322766570604
OKKA FOODS MARKET,"1524 Kings Highway, Brooklyn",40.60877929999999,-73.9575194,"$64,106 ",2300.4322766570604
Avenue I,"1667 Flatbush Avenue, Brooklyn",40.6298283,-73.9441183,"$66,097 ",2315.0432276657057
Halal Products,"1667 Flatbush Avenue, Brooklyn",40.6297732,-73.94418650000001,"$66,097 ",2315.0432276657057
Food Universe,"32-11 Beach Channel Drive, Far Rockaway",40.5982026,-73.7660006,"$51,643 ",1057.7552897884084
Rockaway Kosher Supermarket,"1913 Cornaga Avenue, Far Rockaway",40.60209640000001,-73.7519612,"$51,643 ",1057.7552897884084
Shop Fair of Cornaga,"1801 Cornaga Avenue, Far Rockaway",40.602473,-73.749737,"$51,643 ",1057.7552897884084
Three Brothers Meat Market,"1326 Central Avenue, Far Rockaway",40.6070484,-73.7499342,"$51,643 ",1057.7552897884084
Mango Hills Supermarket,"290 Beach 14th Street, Far Rockaway",40.59795450000001,-73.74809979999999,"$51,643 ",1057.7552897884084
Key Food Supermarkets,"2020 New Haven Avenue, Far Rockaway",40.6010937,-73.75431499999999,"$51,643 ",1057.7552897884084
Newway Supermarket,"58-14 Beach Channel Drive, Arverne",40.5943395,-73.78889280000001,"$51,643 ",1057.7552897884084
