Name,Address,Latitude,Longitude,Income,Density,Traffic
Bobby's Department Store,"1601 Church Avenue, Brooklyn",40.6489877,-73.9647026,144733.0,1508.7752161383285,1.3640422161383283
Haseeb 99¢,"2010 Church Avenue, Brooklyn",40.6499722,-73.96055009999999,66097.0,2315.0432276657057,2.248946227665705
Walgreens,"724 Flatbush Avenue, Brooklyn",40.6554119,-73.9601058,73101.0,1387.8530259365994,1.3147520259365992
Target,"2101 Church Avenue, Brooklyn",40.6503808,-73.95932739999999,73101.0,1387.8530259365994,1.3147520259365992
Burlington,"2163 Tilden Avenue, Brooklyn",40.6466821,-73.9575376,66097.0,2315.0432276657057,2.248946227665705
Deals Plus Inc.,"1175 Nostrand Avenue, Brooklyn",40.658805,-73.9501499,73101.0,1387.8530259365994,1.3147520259365992
Burlington,"490 Fulton Street, Brooklyn",40.6896459,-73.9832211,120556.0,1435.4034582132565,1.3148474582132563
Dillard's,"419 East 34th Street, Brooklyn",40.6465292,-73.9450284,60811.0,2237.0605187319884,2.1762495187319884
Primark,"445 Albee Square West, Brooklyn",40.69016489999999,-73.9832291,120556.0,1435.4034582132565,1.3148474582132563
Lot-Less,"44 Court Street, Brooklyn",40.6926779,-73.9911248,120556.0,1435.4034582132565,1.3148474582132563
Bobby's Department Store,"823 Utica Avenue, Brooklyn",40.6527778,-73.9302778,60811.0,2237.0605187319884,2.1762495187319884
Shoppers World,"1572 Pitkin Avenue, Brooklyn",40.6687484,-73.9156366,38285.0,1245.936599423631,1.207651599423631
Peoples Department Store,"4 Ralph Avenue, Brooklyn",40.6904774,-73.92447430000001,70582.0,1622.9682997118157,1.552386299711816
Talotsing,"1690 Atlantic Avenue, Brooklyn",40.6773986,-73.9346389,73101.0,1387.8530259365994,1.3147520259365992
Target,"519 Gateway Drive, Brooklyn",40.6529944,-73.870071,82604.0,1125.998160073597,1.0433941600735972
Marshalls,"351 Gateway Drive, Brooklyn",40.651325,-73.8731,82604.0,1125.998160073597,1.0433941600735972
JCPenney,"360 Gateway Drive, Brooklyn",40.6518682,-73.8746732,82604.0,1125.998160073597,1.0433941600735972
T.J. Maxx,"410 Gateway Drive, Brooklyn",40.65276910000001,-73.87289860000001,82604.0,1125.998160073597,1.0433941600735972
