Name,Address,Latitude,Longitude
Value Zone Dept. Store Home Goods & Things,"325 Springfield Avenue, Newark",40.7336841,-74.19243449999999
ABC Super Stores,"161 Ferry Street, Newark",40.7291733,-74.1585453
Jembro Stores,"1745 Morris Avenue, Union",40.6948302,-74.25782629999999
Burlington,"1701 Morris Avenue, Union",40.6954574,-74.2559356
SaveSmart of Newark,"269 Ferry Street, Newark",40.7267028,-74.1505044
Rhodeside & Harwell Inc,"502, 60 Park Place, Newark",40.7383481,-74.1690009
Marshalls & HomeGoods,"701 New Jersey 440, Jersey City",40.7200665,-74.0962384
Lot-Less,"2839 John F. Kennedy Boulevard, Jersey City",40.7319203,-74.0660525
T.J. Maxx,"14 Wall Street, New York",40.7076082,-74.0104393
Target,"100 14th Street, Jersey City",40.7326867,-74.0362548
Macy's,"Newport Centre Mall, 20 Mall Drive East, Jersey City",40.72625199999999,-74.037353
Bloomingdale's,"504 Broadway, New York",40.7221565,-73.9992178
Lot-Less,"97 Chambers Street # 1805, New York",40.7148895,-74.0076218
Kohl's,"40 Mall Drive East, Jersey City",40.7275599,-74.0368998
Lot-Less,"299 Broadway # 4, New York",40.71521660000001,-74.0055893
JCPenney,"10 Mall Drive West, Jersey City",40.72558959999999,-74.03844040000001
Pearl River Mart,"452 Broadway, New York",40.720357,-74.0005647
The White Gown,"62 Grand Street 4th Floor, New York",40.7223592,-74.0032725
Marshalls,"206 Washington Street, New York",40.7134989,-74.01266509999999
Target,"255 Greenwich Street, New York",40.7143284,-74.01091439999999
Lot-Less,"95 Fulton Street, New York",40.7094703,-74.00605639999999
Kennedy Department Store Inc,"270 Central Avenue, Jersey City",40.743992,-74.05034069999999
Closeout Services Corporation.,"380 Rector Place, New York",40.7092827,-74.01811359999999
Sunglass Hut at Macy's,"20 Mall Drive East, Jersey City",40.7265788,-74.0373272
MUJI SOHO,"455 Broadway, New York",40.7207083,-74.00097459999999
Primark,"50 Mall Drive West, Jersey City",40.72846529999999,-74.03785359999999
Oceanus New York inc.,"30 Wall Street, New York",40.70692079999999,-74.01015819999999
Westfield World Trade Center,"185 Greenwich Street, New York",40.7114207,-74.0114897
Century 21 NYC,"22 Cortlandt Street, New York",40.7104702,-74.0105359
Sav’s Store,"40 Fulton Street, New York",40.7078943,-74.0049023
T.J. Maxx,"483 Broadway, New York",40.7217048,-74.00033549999999
Iza By Silvia D'Avila at Flying Solo,"419 Broome Street, New York",40.72107260000001,-73.998733
Piombo,"Piombo, Spring Street #149, New York",40.7244877,-74.00134919999999
Nordstrom Rack,"60 East 14th Street, New York",40.7343826,-73.990185
Marshalls,"620 6th Avenue, New York",40.740067,-73.9945349
T.J. Maxx,"620 6th Avenue, New York",40.740022,-73.9946556
Burlington,"707 6th Avenue, New York",40.7426666,-73.99325569999999
Burlington,"4 Union Square East, New York",40.734867,-73.991455
MUJI Chelsea,"16 West 19th Street, New York",40.73946179999999,-73.9925543
Lot-Less,"80 Clinton Street #2, New York",40.71864589999999,-73.9851937
SNOW XUE GAO New York Flagship Store,"208 Bowery, New York",40.721671,-73.9940015
Shoppers World,"60 Graham Avenue, Brooklyn",40.702932,-73.94223699999999
Telco Stores,"305 Broadway, Brooklyn",40.708437,-73.9574915
Pearl River Mart at Chelsea Market,"75 9th Avenue, New York",40.7428287,-74.00635249999999
Target,"400 Grand Street, New York",40.7164903,-73.9867718
Marshalls,"197 East Houston Street, New York",40.7223519,-73.9875872
Target,"600 Broadway, New York",40.7250231,-73.9965204
Target,"500 East 14th Street, New York",40.7302061,-73.9803563
Apple Department store,"247 Bedford Avenue, Brooklyn",40.7155855,-73.9597695
Lot Stop Department,"245 1st Avenue, New York",40.7317754,-73.9826815
MUJI Williamsburg,"200 Wythe Avenue, Brooklyn",40.7186174,-73.96165239999999
